owner_id,dob,pet_id,name,species,breed
148,2021-03-21 00:00:00,1,Gregory,Rabbit,Holland Lop
119,2012-08-02 00:00:00,1,Amber,Bird,Cockatiel
82,2009-12-18 00:00:00,1,Catherine,Rabbit,Holland Lop
90,2020-03-12 00:00:00,1,Alyssa,Bird,Parakeet
40,2016-01-05 00:00:00,1,Lori,Rabbit,Holland Lop
15,2013-02-21 00:00:00,1,Cheryl,Cat,Bengal
1,2016-10-16 00:00:00,1,Patricia,Bird,Parakeet
27,2022-12-07 00:00:00,1,Dylan,Bird,Cockatiel
133,2013-08-30 00:00:00,1,Madison,Cat,Persian
113,2021-10-18 00:00:00,1,Jennifer,Dog,Golden Retriever
38,2013-11-21 00:00:00,1,Jason,Bird,Parakeet
84,2017-02-18 00:00:00,1,Shawn,Bird,Parakeet
18,2014-10-09 00:00:00,1,Stephanie,Cat,Siamese
13,2014-10-24 00:00:00,1,Jennifer,Rabbit,Holland Lop
87,2015-09-26 00:00:00,1,Shannon,Dog,Beagle
19,2019-01-21 00:00:00,1,Maria,Rabbit,Mini Rex
105,2013-05-25 00:00:00,1,Erin,Bird,Cockatiel
127,2024-07-01 00:00:00,1,Melanie,Bird,Parakeet
54,2017-09-13 00:00:00,1,Cynthia,Rabbit,Netherland Dwarf
76,2020-12-10 00:00:00,1,Jason,Dog,Beagle
139,2017-01-04 00:00:00,1,Kimberly,Bird,Cockatiel
40,2013-08-25 00:00:00,2,Steve,Rabbit,Mini Rex
24,2016-04-08 00:00:00,1,Joseph,Bird,Macaw
124,2017-02-21 00:00:00,1,Annette,Rabbit,Netherland Dwarf
127,2018-03-06 00:00:00,2,Steven,Dog,Bulldog
40,2012-09-19 00:00:00,3,Jacqueline,Rabbit,Mini Rex
10,2019-07-01 00:00:00,1,John,Cat,Siamese
104,2016-09-10 00:00:00,1,Adam,Bird,Macaw
59,2023-03-01 00:00:00,1,Tracy,Dog,Beagle
105,2011-02-21 00:00:00,2,Ruben,Cat,Maine Coon
63,2010-07-05 00:00:00,1,Ronald,Cat,Maine Coon
28,2016-09-28 00:00:00,1,Timothy,Dog,Beagle
17,2023-09-01 00:00:00,1,Paul,Dog,Poodle
134,2011-12-14 00:00:00,1,Vanessa,Rabbit,Netherland Dwarf
60,2013-08-02 00:00:00,1,Michael,Rabbit,Mini Rex
60,2012-02-09 00:00:00,2,Eric,Dog,Bulldog
91,2014-02-08 00:00:00,1,Bradley,Cat,Siamese
77,2012-11-05 00:00:00,1,Victor,Dog,Beagle
81,2019-04-26 00:00:00,1,Sean,Cat,British Shorthair
113,2015-12-05 00:00:00,2,April,Cat,Siamese
54,2017-02-27 00:00:00,2,Carol,Bird,Cockatiel
111,2022-02-18 00:00:00,1,Cynthia,Dog,German Shepherd
113,2017-09-12 00:00:00,3,Laura,Dog,Beagle
149,2024-07-17 00:00:00,1,Nicole,Cat,Persian
29,2012-02-06 00:00:00,1,Pamela,Rabbit,Mini Rex
8,2017-12-31 00:00:00,1,Robert,Cat,British Shorthair
128,2020-01-09 00:00:00,1,Rebecca,Dog,Bulldog
19,2017-07-01 00:00:00,2,Jennifer,Rabbit,Netherland Dwarf
116,2012-08-16 00:00:00,1,Brenda,Cat,British Shorthair
110,2016-01-10 00:00:00,1,Ann,Rabbit,Holland Lop
150,2023-05-27 00:00:00,1,Travis,Bird,Macaw
24,2021-05-08 00:00:00,2,Colleen,Dog,Bulldog
57,2019-02-02 00:00:00,1,Melissa,Cat,Persian
84,2024-03-27 00:00:00,2,Haley,Dog,Poodle
109,2021-01-17 00:00:00,1,James,Bird,Cockatiel
