pet_id,name,species,breed,dob,owner_id
pet_f0f5a9fe,Hayley,Bird,Parakeet,2015-03-05,user_978a2458
pet_f9f815a0,Michael,Bird,Finch,2015-06-25,user_11e30e6e
pet_c3a33246,Edward,Cat,Persian,2014-06-25,user_fc719e33
pet_5f8a346a,David,Rabbit,Holland Lop,2013-03-14,user_a0ac281c
pet_01b49637,Michele,Rabbit,Netherland Dwarf,2015-04-04,user_220ef560
pet_21605a4c,Misty,Cat,Sphynx,2022-08-02,user_8616619b
pet_f4b6d404,Nathaniel,Dog,Labrador,2017-06-30,user_d7981080
pet_ef9d3a6a,Charles,Rabbit,Holland Lop,2013-05-21,user_89875a87
pet_16bf2b7a,Steven,Rabbit,Mini Rex,2024-02-16,user_3ecb5d7c
pet_f2ead829,Abigail,Rabbit,Netherland Dwarf,2021-01-29,user_f4d84ce4
pet_a4351719,Daniel,Rabbit,Mini Rex,2023-01-02,user_839f8082
pet_7aa431a5,Blake,Dog,Golden Retriever,2023-10-21,user_894bbc47
pet_57a8c2dd,Kimberly,Rabbit,Holland Lop,2015-12-06,user_08d5463f
pet_c4ca1925,Madeline,Bird,Finch,2020-05-26,user_2f8c1479
pet_8b5d7301,Larry,Bird,Finch,2023-01-10,user_20b2ffcc
pet_51d12dda,Erin,Cat,Bengal,2012-12-23,user_2f8c1479
pet_23b921bc,Amy,Bird,Finch,2010-01-07,user_eca44408
pet_6867a651,Jennifer,Cat,Bengal,2024-03-05,user_43c7b010
pet_e8845a50,Drew,Cat,Sphynx,2024-12-09,user_5a21b307
pet_ab2fe7b2,Heather,Cat,British Shorthair,2021-01-23,user_9c4c80d0
pet_36a7f54a,James,Cat,Bengal,2013-01-18,user_8616619b
pet_7a0d5183,Deanna,Rabbit,Netherland Dwarf,2016-05-20,user_9c1fce8b
pet_6c46cf75,Eric,Bird,Parakeet,2017-06-27,user_0b73da62
pet_86925127,Brandon,Bird,Cockatiel,2014-02-13,user_dc2475ca
pet_306fb0c9,Haley,Dog,Rottweiler,2021-04-18,user_7ebecc40
pet_61efc480,Kimberly,Cat,Persian,2023-08-26,user_deb56054
pet_16b9b49e,Stephanie,Bird,Cockatiel,2010-07-28,user_926d6f5c
pet_4b76cbb4,Michael,Rabbit,Mini Rex,2010-06-14,user_a10b3f21
pet_6d8f94ec,Amanda,Cat,Maine Coon,2010-12-26,user_c1bc3e65
pet_a78e446c,Reginald,Bird,Macaw,2025-03-12,user_b6f0e319
pet_7e479694,Antonio,Rabbit,Mini Rex,2025-04-23,user_8e486590
pet_6850fd11,Paul,Rabbit,Holland Lop,2019-04-23,user_ae022365
pet_fb4771ae,Jonathan,Rabbit,Mini Rex,2012-09-01,user_17f3661f
pet_b0aa312d,Richard,Bird,Cockatiel,2016-01-25,user_97df8aa1
pet_c74ad799,Grant,Cat,Ragdoll,2019-05-08,user_8616619b
pet_fd4a381c,Kristina,Bird,Cockatiel,2020-08-23,user_7b596707
pet_810fd546,Debbie,Cat,Persian,2012-05-03,user_1194d4df
pet_fa72dad5,Robert,Rabbit,Netherland Dwarf,2024-01-23,user_975b3bfe
pet_bd956f82,Patrick,Bird,Parakeet,2020-10-04,user_fe56f443
pet_293ac5ff,Faith,Cat,Ragdoll,2016-11-14,user_46fa55b2
pet_54406c4d,Thomas,Rabbit,Mini Rex,2014-09-19,user_2999abdc
pet_88792fd9,Elizabeth,Cat,Bengal,2023-12-03,user_6dfdba00
pet_2c6c4e70,Andrea,Rabbit,Mini Rex,2019-02-19,user_7bc84333
pet_91e0b7fe,Robert,Cat,British Shorthair,2014-09-24,user_d806084f
pet_8e95300d,Vickie,Bird,Finch,2018-03-25,user_aa33c894
pet_082f8447,Paul,Cat,British Shorthair,2014-09-04,user_8ed9eea6
pet_c464964e,Melissa,Cat,Sphynx,2022-11-04,user_70f86508
pet_a2d53c1f,Amanda,Rabbit,Netherland Dwarf,2014-08-05,user_84194b6d
pet_009e0802,Scott,Dog,Labrador,2012-07-15,user_f0d346f7
pet_60e54897,Greg,Bird,Macaw,2013-12-26,user_bdf21cc6
pet_5bf4d21c,Julie,Bird,Cockatiel,2017-03-15,user_096f4f1a
pet_02837d17,Michael,Cat,British Shorthair,2023-05-12,user_1687f027
pet_2deeda94,Adam,Dog,Rottweiler,2019-09-26,user_b5482564
pet_5385f12f,Kyle,Dog,Beagle,2015-09-13,user_e81e3c08
pet_4ca12784,Roberta,Dog,Rottweiler,2025-07-14,user_8a7361f5
pet_ede0dd94,Brittney,Bird,Finch,2023-03-20,user_839f8082
pet_353ae6f5,Ann,Dog,Beagle,2020-12-07,user_310d8601
pet_c88d9a90,Brandon,Rabbit,Netherland Dwarf,2016-08-02,user_2313b6ab
pet_8e8a3b91,Jessica,Rabbit,Holland Lop,2023-11-13,user_7b665d10
pet_58bc6d2b,Michael,Dog,Poodle,2021-06-15,user_3d2bd85f
pet_80096d47,Patricia,Rabbit,Holland Lop,2019-07-25,user_7e6f3142
pet_2a7a58b0,Heather,Cat,Ragdoll,2010-07-04,user_220ef560
pet_40de8bff,Michael,Cat,British Shorthair,2024-02-19,user_4cdd11d9
pet_6edd2b94,Elizabeth,Rabbit,Netherland Dwarf,2011-07-17,user_2313b6ab
pet_6abc83a0,Jose,Cat,Siamese,2013-04-10,user_fc719e33
pet_4c225a1b,David,Rabbit,Holland Lop,2024-01-03,user_85f367a5
pet_8d1fe964,Theresa,Dog,Beagle,2019-12-25,user_5a875cf5
pet_e0bc13e1,Jennifer,Rabbit,Mini Rex,2010-01-27,user_7ac0fc15
pet_b10f9249,Lisa,Rabbit,Mini Rex,2009-11-18,user_c873ba00
pet_72dacdd3,Jermaine,Bird,Parakeet,2011-02-14,user_7602a87c
pet_24904c10,George,Cat,British Shorthair,2017-08-13,user_41dd348f
pet_fee70804,Lisa,Dog,Labrador,2016-11-27,user_211fe4af
pet_84fdea44,Joseph,Bird,Parakeet,2011-10-15,user_08d5463f
pet_11e94207,Alexandria,Dog,Dachshund,2021-09-04,user_43c7b010
pet_25582e37,Debra,Dog,Labrador,2020-02-29,user_bd2fee11
