appointment_id,pet_owner_id,pet_id,groomer_id,appointment_datetime,cost
1,305,3,528,2026-08-29 20:17:18,83
2,372,2,587,2027-01-30 05:44:43,139
3,213,2,597,2026-05-20 03:51:18,111
4,3,2,544,2027-02-26 18:25:44,133
5,281,2,597,2026-06-18 05:12:34,140
6,43,1,507,2025-08-19 14:50:19,124
7,358,3,569,2027-03-29 13:58:20,104
8,132,3,584,2025-06-27 07:26:25,128
9,42,2,598,2026-04-27 21:04:58,141
10,388,1,545,2025-11-15 06:20:36,112
11,269,1,583,2026-09-12 06:39:17,146
12,212,1,545,2027-10-15 21:11:12,95
13,345,2,563,2026-09-23 19:34:27,157
14,230,2,528,2026-08-26 17:19:10,72
15,355,1,530,2025-09-22 15:22:24,133
16,442,2,579,2026-01-01 09:05:10,135
17,428,1,513,2025-09-04 07:44:52,116
18,85,2,582,2025-05-06 00:28:45,98
19,307,1,517,2025-02-17 19:34:32,91
20,444,2,590,2025-04-26 14:58:42,127
21,373,2,547,2026-08-01 17:26:16,112
22,212,2,546,2026-09-02 07:40:02,99
23,411,3,588,2027-03-11 01:17:49,102
24,137,1,502,2026-07-03 00:45:43,83
25,34,1,503,2026-12-30 15:44:46,136
26,61,1,533,2025-05-07 00:38:29,136
27,143,3,550,2026-03-26 04:38:42,124
28,213,1,582,2025-01-03 04:41:29,101
29,330,3,528,2026-04-07 10:39:34,94
30,94,3,581,2026-04-28 01:03:24,139
31,235,3,549,2025-06-10 11:44:12,145
32,138,2,533,2025-07-17 09:26:03,144
33,386,2,532,2026-07-10 15:22:14,114
34,257,1,577,2026-03-18 13:20:36,98
35,486,1,539,2027-06-20 15:44:45,105
36,9,2,582,2025-10-08 20:36:48,90
37,255,2,564,2027-09-15 23:36:59,105
38,385,2,505,2025-06-26 07:15:25,91
39,24,2,562,2024-12-01 07:51:12,83
40,211,3,592,2026-11-14 02:21:13,117
41,143,2,501,2025-03-25 20:41:09,140
42,499,2,523,2026-09-18 15:48:53,73
43,389,1,594,2027-02-02 00:18:47,145
44,230,1,546,2025-12-27 01:07:48,94
45,262,2,579,2027-10-29 19:53:13,143
46,293,1,535,2025-10-06 03:02:52,138
47,422,3,534,2026-03-11 04:05:01,74
48,213,3,583,2026-06-26 09:34:32,154
49,394,1,522,2025-05-29 08:26:41,90
50,307,3,523,2025-03-20 11:43:04,87
51,334,1,578,2026-08-04 12:59:35,110
52,358,2,525,2027-08-04 02:10:52,149
53,173,1,585,2027-10-02 10:19:13,138
54,411,3,528,2026-06-26 14:51:16,95
55,366,1,571,2026-04-22 08:35:43,114
56,214,1,585,2025-08-31 23:32:28,142
57,339,1,543,2027-08-18 07:07:32,146
58,480,3,505,2026-05-12 01:54:20,95
59,477,3,548,2025-04-23 12:22:55,142
60,91,2,584,2026-05-10 12:02:26,120
61,262,2,534,2026-08-11 14:55:12,81
62,164,2,506,2026-04-06 13:10:55,103
63,480,3,599,2026-12-10 00:11:20,88
64,116,1,588,2026-12-18 20:49:48,107
65,355,1,579,2026-04-02 09:37:23,163
66,240,3,572,2025-05-08 08:21:53,106
67,475,1,585,2027-08-12 07:19:41,146
68,408,1,544,2026-02-04 04:03:41,128
